Kinase,UniprotID,Score
MAPK12,P53778,-0.1926338274962715
MAPK13,O15264,-0.0578027833369298
AKT3,Q9Y243,-0.05460444662166616
CDK2,P24941,-0.12605426587285135
PRKACA,P17612,0.23876292414386205
PRKCA,P17252,0.12897710557973563
NUAK1,O60285,NA
CDK6,Q00534,-0.02517142148807841
PRKCB,P05771,0.11950750313317582
CDK4,P11802,0.03798741686930948
MAPK11,Q15759,0.015130662232850908
PRKCD,Q05655,0.1476706631538305
MAPK7,Q13164,0.07365936526978367
PRKY,O43930,0.05467505980227122
MAPK9,P45984,0.061754414920215675
PRKCH,P24723,0.13800508729535443
CAMK4,Q16566,0.11067118321089539
DCLK2,Q8N568,0.15443557588858928
MAPK10,P53779,0.14801045957508643
MAPK8,P45983,0.14801045957508643
SGK2,Q9HBY8,0.17785354160628386
RPS6KA5,O75582,0.2551407420480174
SGK3,Q96BR1,0.15276278845002972
PRKAA1,Q13131,0.17538050609960051
MAPK3,P27361,0.11229320997804543
RPS6KB2,Q9UBS0,0.25679746302826756
CHEK2,O96017,0.20225558405138402
CDKL5,O76039,0.2549378338539341
MAPK1,P28482,0.11229320997804543
CAMK2D,Q13557,0.14926633272562945
SGK1,O00141,0.21221789808668093
STK38L,Q9Y2H1,0.15495888312200704
CDK3,Q00526,0.08528142598008362
MYLK3,Q32MK0,0.11105836702453058
CHUK,O15111,0.13492445223266378
PRKCE,Q02156,0.24754813461354225
CAMK2A,Q9UQM7,0.1912904621182338
CAMK2G,Q13555,0.18863139412770907
PRKX,P51817,0.28321109131688277
DAPK3,O43293,NA
NPR2,P20594,0.21596124229531818
RPS6KA4,O75676,0.15056854820719895
PKN1,Q16512,0.1689206094624433
PRKCQ,Q04759,0.25858220777870683
PKN2,Q16513,0.17035689930834225
NPR1,P16066,0.28685263363056696
PRKCG,P05129,0.29098415032937125
CSNK1D,P48730,0.22909333408412894
CSNK1E,P49674,0.22909333408412894
PRKACB,P22694,0.30244226801131985
AKT2,P31751,0.3151387296424988
RPS6KA6,Q9UK32,0.37091670932417836
PRKG2,Q13237,0.3220895447459379
PRKG1,Q13976,0.3290941257215694
MAPK14,Q16539,0.3013716421021697
CDK7,P50613,0.2858122616614116
PRKCZ,Q05513,0.33429702020783497
CDK15,Q96Q40,0.3535952393396912
CSNK1A1,P48729,0.23498003147057292
CDK10,Q15131,0.34684647241132616
AKT1,P31749,0.3588682506074213
PRKDC,P78527,0.3631394299481205
CSNK2A1,P68400,NA
PSKH1,P11801,0.43537848253053024
ATR,Q13535,0.45215282225764547
PLK3,Q9H4B4,0.48637818590000625
CDK1,P06493,0.2869545319326046
PRKAB1,Q9Y478,0.5027984464900928
RPS6KA2,Q15349,0.4203722366484291
ARAF,P10398,NA
BRAF,P15056,NA
PIM3,Q86V86,NA
MAPKAPK2,P49137,0.4414179331455845
MTOR,P42345,0.33051923516581816
MAPKAPK3,Q16644,0.4272119116763137
RAF1,P04049,NA
CDKL1,Q00532,0.41665032248668715
AURKA,O14965,NA
PIM1,P11309,0.4426572523781677
RPS6KA3,P51812,0.43140833814653956
CDK9,P50750,NA
ROCK1,Q13464,NA
CDK13,Q14004,NA
GSK3B,P49841,0.5640007497214534
PRKD1,Q15139,0.5322421663191335
CAMK2B,Q13554,0.509637632430687
CDK17,Q00537,NA
CHEK1,O14757,0.552261895324217
ROCK2,O75116,0.6511447875580982
PAK1,Q13153,NA
CDK14,O94921,0.6820706092249847
IKBKE,Q14164,0.7199405587635973
CDK11A,Q9UQ88,0.8585346099264614
PRKCI,P41743,0.699418557435626
DAPK1,P53355,NA
RPS6KB1,P23443,0.5830629796241282
NEK8,Q86SG6,NA
IKBKB,O14920,NA
CDK5,Q00535,1.0005576591396192
RPS6KA1,Q15418,0.7973447724106922
PIM2,Q9P1W9,0.5579085948175108
AURKB,Q96GD4,NA
COQ8A,Q8NI60,NA
