Kinase,UniprotID,Score
PRKACA,P17612,NA
MAPK7,Q13164,0.14042993928102776
CILK1,Q9UPZ9,0.20775545560083586
PRKG2,Q13237,NA
TBK1,Q9UHD2,0.20775545560083586
MAK,P20794,0.20775545560083586
CDKL2,Q92772,0.17102917949419713
RPS6KB2,Q9UBS0,NA
CDKL5,O76039,0.2027004731968993
NEK8,Q86SG6,0.2628947174354301
PIM2,Q9P1W9,NA
MAPK12,P53778,0.2943166964544049
PIM1,P11309,NA
PRKCD,Q05655,NA
PRKG1,Q13976,NA
DCLK2,Q8N568,NA
CDK2,P24941,0.4644338411375227
RPS6KA5,O75582,NA
PRKCB,P05771,NA
PRKX,P51817,NA
PRKCQ,Q04759,NA
RPS6KA1,Q15418,NA
PRKCI,P41743,NA
MAPK13,O15264,0.612892619309897
PRKACB,P22694,NA
CDK1,P06493,0.5618855576748577
PRKCG,P05129,NA
MAPKAPK3,Q16644,NA
MAPK8,P45983,0.7102611775247409
MAPK10,P53779,0.7102611775247409
CHEK1,O14757,NA
CDK3,Q00526,0.5943123802365697
MAPK9,P45984,0.7102611775247409
PRKCZ,Q05513,NA
MAPK3,P27361,0.7581231407925364
CDK7,P50613,NA
MAPK11,Q15759,0.6792618173883173
SGK3,Q96BR1,NA
CSNK1A1,P48729,0.5672167796458848
RPS6KA4,O75676,0.5410498632656178
MAPK14,Q16539,0.7228903532212584
COQ8A,Q8NI60,NA
PRKCA,P17252,NA
CHEK2,O96017,NA
CAMK2B,Q13554,0.9259450097703928
PKN1,Q16512,0.7718449989010104
MAPK1,P28482,0.8545401728974791
AURKB,Q96GD4,NA
NPR1,P16066,NA
PRKCH,P24723,NA
RPS6KA6,Q9UK32,1.111692701807008
SGK2,Q9HBY8,NA
PRKCE,Q02156,NA
RPS6KA3,P51812,0.9557564480868203
AKT2,P31751,NA
AKT1,P31749,NA
MAPKAPK2,P49137,NA
PRKY,O43930,NA
RAF1,P04049,NA
PAK1,Q13153,1.281992574444654
SGK1,O00141,NA
RPS6KA2,Q15349,NA
CDK5,Q00535,1.3611464713759172
RPS6KB1,P23443,1.9548891123698227
CDK11A,Q9UQ88,1.9092414289022932
ARAF,P10398,1.9973285472652011
BRAF,P15056,1.9973285472652011
