Kinase,UniprotID,Score
RPS6KA4,O75676,0.00252948708821108
PRKCB,P05771,0.2532302917130285
PRKCA,P17252,0.30849629513078936
PRKCQ,Q04759,0.2915722015224278
RPS6KA6,Q9UK32,NA
PRKCD,Q05655,0.31303821496152096
NEK8,Q86SG6,0.24209015590482166
RPS6KA1,Q15418,NA
AURKB,Q96GD4,0.2773038491531426
CSNK1A1,P48729,0.2904788394555225
DCLK2,Q8N568,NA
SGK3,Q96BR1,0.3221200855451745
CHEK2,O96017,NA
PRKCG,P05129,0.4436711812226722
PRKCE,Q02156,0.5006579314466006
CDK11A,Q9UQ88,0.39976393840073504
MAPK11,Q15759,NA
SGK1,O00141,0.36212797776068106
CHEK1,O14757,NA
CDKL2,Q92772,0.4301657515847529
RAF1,P04049,NA
PRKCZ,Q05513,0.4869441193213176
PRKACB,P22694,0.5677997714087419
CAMK2B,Q13554,0.50302102754456135
PRKG2,Q13237,0.6262009692308943
COQ8A,Q8NI60,0.6030239537229702
PAK1,Q13153,0.5467851378360423
RPS6KA2,Q15349,NA
PRKY,O43930,0.6208925247353517
MAPK12,P53778,NA
CDK7,P50613,0.658784147237611
SGK2,Q9HBY8,0.6464425940630837
PRKX,P51817,0.6974951718191633
RPS6KB2,Q9UBS0,NA
AKT2,P31751,0.7841723720041125
RPS6KA3,P51812,NA
PRKACA,P17612,0.888169878317349
AKT1,P31749,0.8497563716365725
MAPK3,P27361,NA
PIM1,P11309,1.1148311869000216
CDK1,P06493,NA
NPR1,P16066,NA
RPS6KA5,O75582,1.0862713173772558
PRKCH,P24723,0.8604055253716614
MAPK14,Q16539,NA
PRKCI,P41743,0.9235770647838167
RPS6KB1,P23443,1.2109820040243104
CDK3,Q00526,1.0252599232377309
CDKL5,O76039,NA
PKN1,Q16512,NA
PIM2,Q9P1W9,1.2190799510528112
MAPK8,P45983,1.1274293161813316
MAPK9,P45984,1.1274293161813316
MAPK10,P53779,1.1274293161813316
CILK1,Q9UPZ9,NA
MAK,P20794,NA
TBK1,Q9UHD2,NA
ARAF,P10398,NA
BRAF,P15056,NA
MAPK13,O15264,NA
PRKG1,Q13976,1.3865370081406962
MAPK1,P28482,NA
MAPKAPK2,P49137,1.6041894428643584
MAPK7,Q13164,1.5830501655247047
CDK2,P24941,NA
MAPKAPK3,Q16644,NA
CDK5,Q00535,1.7875222442148322
