Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
CHEK1,-7.442168112820637,17,PTM-SEA,0.5102040816326531,3,CAMK,CAMKL,CHK1,CHEK1
AURKA,0,22,PTM-SEA,0,1,OTHER,AUR,AUR,AURKA
RPS6KA5,-36.824526547616266,3,PTM-SEA,0.9591836734693877,4,AGC,RSK,MSK,RPS6KA5
CHEK2,14.508471099284948,13,PTM-SEA,0.5918367346938775,3,CAMK,RAD53,RAD53,CHEK2
RAF1,-4.401527442889422,20,PTM-SEA,0.4489795918367347,2,TKL,RAF,RAF,RAF1
PRKCB,-43.93478260869565,1,PTM-SEA,1,4,AGC,PKC,ALPHA,PRKCB
CDK1,-23.527564291269194,9,PTM-SEA,0.673469387755102,3,CMGC,CDK,CDC2,CDK1
ARAF,0,22,PTM-SEA,0,1,TKL,RAF,RAF,ARAF
PIM1,23.8482164658027,8,PTM-SEA,0.6938775510204082,3,CAMK,PIM,PIM,PIM1
BRAF,0,22,PTM-SEA,0,1,TKL,RAF,RAF,BRAF
PRKCA,-33.62582228079016,4,PTM-SEA,0.9387755102040817,4,AGC,PKC,ALPHA,PRKCA
PRKACA,-18.95519885605452,11,PTM-SEA,0.6326530612244898,3,AGC,PKA,PKA,PRKACA
PRKACG,23.8482164658027,8,PTM-SEA,0.6938775510204082,3,AGC,PKA,PKA,PRKACG
PRKACB,23.8482164658027,8,PTM-SEA,0.6938775510204082,3,AGC,PKA,PKA,PRKACB
RPS6KB1,0,22,PTM-SEA,0,1,AGC,RSK,P70,RPS6KB1
CDK2,1.7659867477396718,21,PTM-SEA,0.42857142857142855,2,CMGC,CDK,CDC2,CDK2
MAPK3,-18.763774933528858,12,PTM-SEA,0.6122448979591837,3,CMGC,MAPK,ERK1,MAPK3
MAPK1,5.567405969906506,18,PTM-SEA,0.4897959183673469,2,CMGC,MAPK,ERK1,MAPK1
AKT1,-11.053500808321548,15,PTM-SEA,0.5510204081632653,3,AGC,AKT,AKT,AKT1
AKT2,0,22,PTM-SEA,0,1,AGC,AKT,AKT,AKT2
PRKCI,23.8482164658027,8,PTM-SEA,0.6938775510204082,3,AGC,PKC,IOTA,PRKCI
MAPK8,0,22,PTM-SEA,0,1,CMGC,MAPK,JNK,MAPK8
MAPKAPK2,0,22,PTM-SEA,0,1,CAMK,MAPKAPK,MAPKAPK,MAPKAPK2
RPS6KA3,-11.770101800616107,14,PTM-SEA,0.5714285714285714,3,AGC,RSK,RSK,RPS6KA3
NEK2,0,22,PTM-SEA,0,1,OTHER,NEK,NEK2,NEK2
PRKAA2,0,22,PTM-SEA,0,1,CAMK,CAMKL,AMPK,PRKAA2
AURKB,-29.976939590364527,6,PTM-SEA,0.8979591836734694,4,OTHER,AUR,AUR,AURKB
CDK5,-29.785697760741698,7,PTM-SEA,0.8775510204081632,4,CMGC,CDK,CDK5,CDK5
PRKCE,23.8482164658027,8,PTM-SEA,0.6938775510204082,3,AGC,PKC,ETA,PRKCE
PRKCQ,23.8482164658027,8,PTM-SEA,0.6938775510204082,3,AGC,PKC,DELTA,PRKCQ
PRKCZ,0,22,PTM-SEA,0,1,AGC,PKC,IOTA,PRKCZ
PRKCD,0,22,PTM-SEA,0,1,AGC,PKC,DELTA,PRKCD
PRKAA1,-5.116666370918984,19,PTM-SEA,0.46938775510204084,2,CAMK,CAMKL,AMPK,PRKAA1
PAK1,-9.034240705313396,16,PTM-SEA,0.5306122448979592,3,STE,STE20,PAKA,PAK1
PRKG2,0,22,PTM-SEA,0,1,AGC,PKG,PKG,PRKG2
ROCK1,0,22,PTM-SEA,0,1,AGC,DMPK,ROCK,ROCK1
ATR,0,22,PTM-SEA,0,1,ATYPICAL,PIKK,ATR,ATR
PRKG1,-40.64204844051768,2,PTM-SEA,0.9795918367346939,4,AGC,PKG,PKG,PRKG1
PRKD1,23.8482164658027,8,PTM-SEA,0.6938775510204082,3,CAMK,PKD,PKD,PRKD1
RPS6KA2,0,22,PTM-SEA,0,1,AGC,RSK,RSK,RPS6KA2
RPS6KA1,-23.493157842744296,10,PTM-SEA,0.6530612244897959,3,AGC,RSK,RSK,RPS6KA1
PKN1,-30.205495758062444,5,PTM-SEA,0.9183673469387755,4,AGC,PKN,PKN,PKN1
MAPK14,0,22,PTM-SEA,0,1,CMGC,MAPK,P38,MAPK14
PIM3,23.8482164658027,8,PTM-SEA,0.6938775510204082,3,CAMK,PIM,PIM,PIM3
BRSK2,0,22,PTM-SEA,0,1,CAMK,CAMKL,BRSK,BRSK2
BRSK1,0,22,PTM-SEA,0,1,CAMK,CAMKL,BRSK,BRSK1
PLK3,0,22,PTM-SEA,0,1,OTHER,PLK,PLK2,PLK3
NEK6,0,22,PTM-SEA,0,1,OTHER,NEK,NEK6,NEK6
PIM2,23.8482164658027,8,PTM-SEA,0.6938775510204082,3,CAMK,PIM,PIM,PIM2
AKT3,0,22,PTM-SEA,0,1,AGC,AKT,AKT,AKT3
AAK1,298,253,KEA3,0.09714285714285714,1,OTHER,NAK,BIKE,AAK1
ABL1,94,85,KEA3,0.7114285714285714,3,TK,ABL,ABL,ABL1
ABL2,91.66666666666667,81,KEA3,0.7285714285714285,3,TK,ABL,ABL,ABL2
ACVR1,102.5,95,KEA3,0.6685714285714286,3,TKL,STKR,TYPE1,ACVR1
ACVR1B,133.5,131,KEA3,0.52,3,TKL,STKR,TYPE1,ACVR1B
ACVR2B,213,204,KEA3,0.2571428571428571,2,TKL,STKR,TYPE2,ACVR2B
AKT1,71.66666666666667,57,KEA3,0.8085714285714286,4,AGC,AKT,AKT,AKT1
AKT2,81.33333333333333,66,KEA3,0.7771428571428571,4,AGC,AKT,AKT,AKT2
AKT3,4,1,KEA3,1,4,AGC,AKT,AKT,AKT3
ALK,165,173,KEA3,0.3657142857142857,2,TK,ALK,ALK,ALK
ARAF,78.5,63,KEA3,0.7857142857142857,4,TKL,RAF,RAF,ARAF
ATM,101.33333333333333,93,KEA3,0.6771428571428572,3,ATYPICAL,PIKK,ATM,ATM
ATR,90.66666666666667,80,KEA3,0.7314285714285714,3,ATYPICAL,PIKK,ATR,ATR
AURKA,41,22,KEA3,0.9314285714285714,4,OTHER,AUR,AUR,AURKA
AURKB,26.333333333333332,11,KEA3,0.9628571428571429,4,OTHER,AUR,AUR,AURKB
AURKC,185.5,192,KEA3,0.3028571428571429,2,OTHER,AUR,AUR,AURKC
AXL,195,199,KEA3,0.27714285714285714,2,TK,AXL,AXL,AXL
BLK,257,226,KEA3,0.1742857142857143,1,TK,SRC,SRCB,BLK
BMP2K,325,275,KEA3,0.03428571428571429,1,OTHER,NAK,BIKE,BMP2K
BMPR1A,107,102,KEA3,0.64,3,TKL,STKR,TYPE1,BMPR1A
BMPR1B,100,92,KEA3,0.6828571428571428,3,TKL,STKR,TYPE1,BMPR1B
BMPR2,148,151,KEA3,0.4514285714285714,2,TKL,STKR,TYPE2,BMPR2
BMX,135.66666666666666,134,KEA3,0.5057142857142857,3,TK,TEC,TEC,BMX
BRAF,12,4,KEA3,0.9914285714285714,4,TKL,RAF,RAF,BRAF
BRSK1,117.66666666666666,112,KEA3,0.6114285714285714,3,CAMK,CAMKL,BRSK,BRSK1
BRSK2,303,258,KEA3,0.08285714285714285,1,CAMK,CAMKL,BRSK,BRSK2
BTK,79.33333333333333,64,KEA3,0.7828571428571428,4,TK,TEC,TEC,BTK
BUB1,162,169,KEA3,0.37714285714285717,2,OTHER,BUB,BUB,BUB1
CAMK1,173.33333333333334,183,KEA3,0.3314285714285714,2,CAMK,CAMK1,CAMK1,CAMK1
CAMK1D,243,218,KEA3,0.20285714285714285,1,CAMK,CAMK1,CAMK1,CAMK1D
CAMK2A,86.66666666666667,76,KEA3,0.7457142857142857,3,CAMK,CAMK2,CAMK2,CAMK2A
CAMK2B,120.5,117,KEA3,0.58,3,CAMK,CAMK2,CAMK2,CAMK2B
CAMK2D,86,74,KEA3,0.7514285714285714,4,CAMK,CAMK2,CAMK2,CAMK2D
CAMK2G,37,20,KEA3,0.9371428571428572,4,CAMK,CAMK2,CAMK2,CAMK2G
CAMK4,146.33333333333334,149,KEA3,0.45714285714285713,2,CAMK,CAMK1,CAMK1,CAMK4
CAMKK1,157.33333333333334,162,KEA3,0.4085714285714286,2,OTHER,CAMKK,META,CAMKK1
CAMKK2,105,99,KEA3,0.6485714285714286,3,OTHER,CAMKK,META,CAMKK2
CDC42BPA,283,243,KEA3,0.12571428571428572,1,AGC,DMPK,GEK,CDC42BPA
CDC7,194,198,KEA3,0.28,2,OTHER,CDC7,CDC7,CDC7
CDK1,27.5,14,KEA3,0.9542857142857143,4,CMGC,CDK,CDC2,CDK1
CDK11A,332,280,KEA3,0.02,1,CMGC,CDK,CDK11,CDK11A
CDK11A,332,280,KEA3,0.02,1,NA,NA,NA,CDK11A
CDK12,316,269,KEA3,0.05142857142857143,1,CMGC,CDK,CRK7,CDK12
CDK15,260,228,KEA3,0.16857142857142857,1,CMGC,CDK,PFTAIRE,CDK15
CDK16,229,214,KEA3,0.21714285714285714,1,CMGC,CDK,PCTAIRE,CDK16
CDK18,252,224,KEA3,0.18285714285714286,1,CMGC,CDK,PCTAIRE,CDK18
CDK19,57,32,KEA3,0.8971428571428571,4,CMGC,CDK,CDK8,CDK19
CDK2,49.33333333333333,26,KEA3,0.9171428571428571,4,CMGC,CDK,CDC2,CDK2
CDK20,182,190,KEA3,0.30857142857142855,2,CMGC,CDK,CCRK,CDK20
CDK3,158,164,KEA3,0.39714285714285713,2,CMGC,CDK,CDC2,CDK3
CDK4,70.66666666666667,55,KEA3,0.8171428571428572,4,CMGC,CDK,CDK4,CDK4
CDK5,83.66666666666667,71,KEA3,0.7628571428571429,4,CMGC,CDK,CDK5,CDK5
CDK6,59.333333333333336,36,KEA3,0.8828571428571429,4,CMGC,CDK,CDK4,CDK6
CDK7,125,123,KEA3,0.5542857142857143,3,CMGC,CDK,CDK7,CDK7
CDK8,130.5,127,KEA3,0.54,3,CMGC,CDK,CDK8,CDK8
CDK9,135,133,KEA3,0.5142857142857142,3,CMGC,CDK,CDK9,CDK9
CDKL3,302,257,KEA3,0.08571428571428572,1,CMGC,CDKL,CDKL,CDKL3
CDKL5,102,94,KEA3,0.6714285714285714,3,CMGC,CDKL,CDKL,CDKL5
CHEK1,7.333333333333333,2,KEA3,0.9971428571428571,4,CAMK,CAMKL,CHK1,CHEK1
CHEK2,54,29,KEA3,0.9085714285714286,4,CAMK,RAD53,RAD53,CHEK2
CHUK,105.66666666666667,100,KEA3,0.6457142857142857,3,OTHER,IKK,IKK,CHUK
CLK1,158.5,165,KEA3,0.3942857142857143,2,CMGC,CLK,CLK,CLK1
CLK2,93,84,KEA3,0.7142857142857143,3,CMGC,CLK,CLK,CLK2
CLK3,165.5,174,KEA3,0.3628571428571429,2,CMGC,CLK,CLK,CLK3
CLK4,321,273,KEA3,0.04,1,CMGC,CLK,CLK,CLK4
CSF1R,334,282,KEA3,0.014285714285714285,1,TK,PDGFR,PDGFR,CSF1R
CSK,119.66666666666667,115,KEA3,0.5914285714285714,3,TK,CSK,CSK,CSK
CSNK1A1,97.66666666666667,90,KEA3,0.6885714285714286,3,CK1,CK1,CK1-A,CSNK1A1
CSNK1A1L,338,286,KEA3,0.002857142857142857,1,CK1,CK1,CK1-A,CSNK1A1L
CSNK1D,61.333333333333336,40,KEA3,0.8685714285714285,4,CK1,CK1,CK1-D,CSNK1D
CSNK1E,84,72,KEA3,0.7571428571428571,4,CK1,CK1,CK1-D,CSNK1E
CSNK1G1,224.5,211,KEA3,0.22857142857142856,1,CK1,CK1,CK1-G,CSNK1G1
CSNK1G2,217.5,206,KEA3,0.24857142857142858,1,CK1,CK1,CK1-G,CSNK1G2
CSNK1G3,257,226,KEA3,0.1742857142857143,1,CK1,CK1,CK1-G,CSNK1G3
CSNK2A1,77.33333333333333,62,KEA3,0.7885714285714286,4,CMGC,CK2,CK2,CSNK2A1
CSNK2A2,132,130,KEA3,0.5257142857142857,3,CMGC,CK2,CK2,CSNK2A2
DAPK1,131.66666666666666,129,KEA3,0.5314285714285715,3,CAMK,DAPK,DAPK,DAPK1
DAPK3,122.33333333333333,118,KEA3,0.5714285714285714,3,CAMK,DAPK,DAPK,DAPK3
DCLK1,22,9,KEA3,0.9685714285714285,4,CAMK,DCAMKL,DCAMKL,DCLK1
DDR1,58.5,34,KEA3,0.8914285714285715,4,TK,DDR,DDR,DDR1
DDR2,63,43,KEA3,0.86,4,TK,DDR,DDR,DDR2
DMPK,103,96,KEA3,0.66,3,AGC,DMPK,GEK,DMPK
DYRK1A,140.66666666666666,140,KEA3,0.48857142857142855,2,CMGC,DYRK,DYRK1,DYRK1A
DYRK1B,59.66666666666667,37,KEA3,0.88,4,CMGC,DYRK,DYRK1,DYRK1B
DYRK2,116,109,KEA3,0.62,3,CMGC,DYRK,DYRK2,DYRK2
DYRK3,199,200,KEA3,0.2742857142857143,2,CMGC,DYRK,DYRK2,DYRK3
DYRK4,119,114,KEA3,0.5942857142857143,3,CMGC,DYRK,DYRK2,DYRK4
EEF2K,119,114,KEA3,0.5942857142857143,3,ATYPICAL,ALPHA,EEF2K,EEF2K
EGFR,92,82,KEA3,0.7228571428571429,3,TK,EGFR,EGFR,EGFR
EIF2AK1,315,268,KEA3,0.054285714285714284,1,OTHER,PEK,HRI,EIF2AK1
EIF2AK2,164.66666666666666,172,KEA3,0.36857142857142855,2,OTHER,PEK,PKR,EIF2AK2
EIF2AK3,336,284,KEA3,0.008571428571428572,1,OTHER,PEK,PEK,EIF2AK3
EPHA2,320,272,KEA3,0.04285714285714286,1,TK,EPH,EPH,EPHA2
EPHA3,158,164,KEA3,0.39714285714285713,2,TK,EPH,EPH,EPHA3
EPHA4,326,276,KEA3,0.03142857142857143,1,TK,EPH,EPH,EPHA4
EPHA8,335,283,KEA3,0.011428571428571429,1,TK,EPH,EPH,EPHA8
EPHB1,322,274,KEA3,0.037142857142857144,1,TK,EPH,EPH,EPHB1
EPHB2,178,188,KEA3,0.3142857142857143,2,TK,EPH,EPH,EPHB2
EPHB3,168,178,KEA3,0.3485714285714286,2,TK,EPH,EPH,EPHB3
ERBB2,24,10,KEA3,0.9657142857142857,4,TK,EGFR,EGFR,ERBB2
ERBB4,136,135,KEA3,0.5028571428571429,3,TK,EGFR,EGFR,ERBB4
FASTK,233,217,KEA3,0.2057142857142857,1,ATYPICAL,FAST,FAST,FASTK
FER,94.5,86,KEA3,0.7057142857142857,3,TK,FER,FER,FER
FES,266,231,KEA3,0.16,1,TK,FER,FER,FES
FGFR1,145,147,KEA3,0.46285714285714286,2,TK,FGFR,FGFR,FGFR1
FGFR2,169,179,KEA3,0.3457142857142857,2,TK,FGFR,FGFR,FGFR2
FGFR3,115.5,108,KEA3,0.6228571428571429,3,TK,FGFR,FGFR,FGFR3
FGFR4,73,59,KEA3,0.8028571428571428,4,TK,FGFR,FGFR,FGFR4
FGR,81.5,67,KEA3,0.7742857142857142,4,TK,SRC,SRCA,FGR
FLT1,304,259,KEA3,0.08,1,TK,VEGFR,VEGFR,FLT1
FLT3,144,146,KEA3,0.4657142857142857,2,TK,PDGFR,PDGFR,FLT3
FLT4,264,230,KEA3,0.16285714285714287,1,TK,VEGFR,VEGFR,FLT4
FRK,192.5,196,KEA3,0.2885714285714286,2,TK,SRC,FRK,FRK
FYN,45,23,KEA3,0.9257142857142857,4,TK,SRC,SRCA,FYN
GRK1,131,128,KEA3,0.5342857142857143,3,AGC,GRK,GRK,GRK1
GRK2,59,35,KEA3,0.8857142857142857,4,AGC,GRK,BARK,GRK2
GRK3,226.5,212,KEA3,0.2257142857142857,1,AGC,GRK,BARK,GRK3
GRK5,158.66666666666666,166,KEA3,0.38857142857142857,2,AGC,GRK,GRK,GRK5
GRK6,167.66666666666666,177,KEA3,0.35428571428571426,2,AGC,GRK,GRK,GRK6
GSK3A,74.66666666666667,60,KEA3,0.8,4,CMGC,GSK,GSK,GSK3A
GSK3B,27,12,KEA3,0.96,4,CMGC,GSK,GSK,GSK3B
HASPIN,222,209,KEA3,0.2342857142857143,1,OTHER,HASPIN,HASPIN,HASPIN
HCK,157.66666666666666,163,KEA3,0.4057142857142857,2,TK,SRC,SRCB,HCK
HIPK1,67.5,51,KEA3,0.8342857142857143,4,CMGC,DYRK,HIPK,HIPK1
HIPK2,156.33333333333334,161,KEA3,0.4114285714285714,2,CMGC,DYRK,HIPK,HIPK2
HIPK3,291,249,KEA3,0.10857142857142857,1,CMGC,DYRK,HIPK,HIPK3
HIPK4,61.5,41,KEA3,0.8657142857142858,4,CMGC,DYRK,HIPK,HIPK4
ICK,281,241,KEA3,0.13142857142857142,1,CMGC,RCK,RCK,CILK1
IGF1R,188.66666666666666,193,KEA3,0.3,2,TK,INSR,INSR,IGF1R
