Kinase,UniprotID,Score
PRKX,P51817,-0.10788945136439536
MAPK12,P53778,-0.2963432613406456
CAMK4,Q16566,-0.16166580690920185
PIM2,Q9P1W9,-0.06088320316618718
RPS6KA5,O75582,-0.04847219618313281
CAMK2B,Q13554,-0.19307729962423303
PIM1,P11309,-0.035710739868180574
DAPK3,O43293,-0.20568922608482218
PRKG1,Q13976,-0.041698661546712076
MAPK13,O15264,-0.11188477210135013
CAMK2A,Q9UQM7,-0.09485873040796788
CDK2,P24941,-0.09959483544005941
NUAK1,O60285,-0.1063675917551809
MAPK9,P45984,-0.06199971252806509
MAPKAPK2,P49137,-0.051620385737335746
AKT3,Q9Y243,-0.04997155895072879
PRKACB,P22694,-0.03331403688159061
PRKG2,Q13237,-0.025672446786503576
RPS6KB2,Q9UBS0,-0.026761318151526253
CAMK2D,Q13557,-0.03026318449977198
SGK3,Q96BR1,-0.021055215882017756
MAPK7,Q13164,-0.03188602129218076
MAPK10,P53779,-0.03370202721520383
MAPK8,P45983,-0.03370202721520383
CAMK2G,Q13555,-0.01959871547035026
MAPK14,Q16539,-0.010325683459759089
CHEK2,O96017,-0.013110709895894078
CDK3,Q00526,0.022523872387276864
MAPKAPK3,Q16644,-0.007441435701987491
MTOR,P42345,0.022716538836771088
PRKY,O43930,0.023949493388494347
SGK2,Q9HBY8,0.01613106308126109
AKT2,P31751,0.002467616405367193
SGK1,O00141,0.009761864130684516
NPR1,P16066,0.014889818630590735
RPS6KA3,P51812,0.009355191632364264
CSNK1A1,P48729,0.040493256515431404
RPS6KA6,Q9UK32,0.03014424073640898
NPR2,P20594,0.06426168596526187
PRKCA,P17252,0.020163967200216907
CDK4,P11802,0.07544188689431118
PRKACA,P17612,0.009415960012058374
DCLK2,Q8N568,0.05996871286216158
RPS6KB1,P23443,0.04226388158462355
RPS6KA4,O75676,0.10777053040540165
STK38L,Q9Y2H1,0.07628525660379976
CDK1,P06493,0.09382858026423035
MAPK11,Q15759,-0.0031439879506700154
PRKAA1,Q13131,0.07768992016865534
MAPK3,P27361,-0.0038746122269918736
MAPK1,P28482,0.0017656588730286845
PSKH1,P11801,0.1098702029327597
CHEK1,O14757,0.056015826944423024
PRKDC,P78527,0.07311121761415605
CDKL1,Q00532,0.10726842163394498
CDK6,Q00534,0.10863065686058208
AKT1,P31749,0.03399751808128698
CSNK1E,P49674,0.1297083445743606
CSNK1D,P48730,0.1297083445743606
DAPK1,P53355,0.12766407646112754
ATR,Q13535,0.09722504096197768
PLK3,Q9H4B4,0.1158602162219186
GSK3B,P49841,0.13464335178007059
CSNK2A1,P68400,0.14727274300028378
MYLK3,Q32MK0,0.15211964295413632
IKBKE,Q14164,0.13102076688428296
PRKCB,P05771,0.07881020417029426
PRKCD,Q05655,0.0705383839633223
PRKCG,P05129,0.11437494337625574
CDK7,P50613,0.12362265774753317
PRKCH,P24723,0.13842864285193013
CDK10,Q15131,0.19945677341429857
CDKL5,O76039,0.28316259124518045
PRKCZ,Q05513,0.21215555014360438
CDK5,Q00535,0.2384799802463554
CDK15,Q96Q40,0.21497704701138104
AURKB,Q96GD4,0.3017213888041042
RPS6KA2,Q15349,0.13129705535922437
PKN1,Q16512,0.14708609166548955
AURKA,O14965,0.36755076571057044
PRKCQ,Q04759,0.15148812149057708
RPS6KA1,Q15418,0.1826438499749089
PRKD1,Q15139,0.2862010904235834
PRKCI,P41743,0.2154223004901625
PRKCE,Q02156,0.16373352982587383
PKN2,Q16513,0.14440475521345855
ROCK2,O75116,0.14689840032001944
CDK14,O94921,0.20721521577677565
CHUK,O15111,0.2544389621186506
ROCK1,Q13464,0.32421669059587316
CDK17,Q00537,0.33997314226936787
CDK11A,Q9UQ88,0.3536071763836718
CDK13,Q14004,0.3676824402343159
COQ8A,Q8NI60,0.2573552023569565
PRKAB1,Q9Y478,0.2798520826097691
NEK8,Q86SG6,0.41095642733363114
CDK9,P50750,0.36083236256059265
IKBKB,O14920,0.41067243337002374
ARAF,P10398,NA
BRAF,P15056,NA
PIM3,Q86V86,NA
PAK1,Q13153,0.559107092100004
RAF1,P04049,0.526907696593997
