Kinase,UniprotID,Score
PRKX,P51817,-0.1616463330656365
MAPK14,Q16539,-0.37670308501365923
DAPK3,O43293,-0.44788896948690726
MAPKAPK2,P49137,-0.1540301839448738
NUAK1,O60285,-0.37854258741084557
CAMK4,Q16566,-0.26015845417468486
PRKAA1,Q13131,-0.21688891563927112
CHEK1,O14757,-0.2787671553392264
AKT2,P31751,-0.16242373930210557
CHEK2,O96017,-0.18345185577087517
MAPK10,P53779,-0.2240972037588792
MAPK8,P45983,-0.2240972037588792
PRKG2,Q13237,-0.14387607567175306
AKT3,Q9Y243,-0.2294963750883062
NPR1,P16066,-0.16738025089248001
NPR2,P20594,-0.2723250847473881
AKT1,P31749,-0.14366465082744276
MAPKAPK3,Q16644,-0.13626431076703685
CSNK1A1,P48729,-0.20727977054747426
MAPK13,O15264,-0.20383991831664622
CAMK2B,Q13554,-0.22348616553105446
PRKY,O43930,-0.19352930191994785
PRKCA,P17252,-0.141825070391494
SGK3,Q96BR1,-0.16430168066600392
CDK4,P11802,-0.21231114564077977
MTOR,P42345,-0.1882212039062682
PRKACB,P22694,-0.13376141876250797
PRKG1,Q13976,-0.10212143789436737
SGK2,Q9HBY8,-0.13361407959919702
MAPK9,P45984,-0.12346204915797102
CAMK2A,Q9UQM7,-0.1369215987706972
SGK1,O00141,-0.11287385222153368
CAMK2D,Q13557,-0.09947031330138292
STK38L,Q9Y2H1,-0.08120067106929593
CDK3,Q00526,-0.0716398961752721
IKBKE,Q14164,-0.03633080624355798
RPS6KA4,O75676,-0.05008020005130597
RPS6KB2,Q9UBS0,-0.0795544532099842
CDK7,P50613,-0.06562264349911703
CAMK2G,Q13555,-0.05678122625455673
PRKDC,P78527,-0.03731789298889335
DCLK2,Q8N568,-0.052611107092754725
MAPK3,P27361,-0.05073770398181961
CDK1,P06493,-0.021759492819437676
PLK3,Q9H4B4,-0.0090464981980996
CDK6,Q00534,-0.0030916008471188507
CDK2,P24941,0.0018037245630326997
RPS6KA5,O75582,-0.0617463489643281
PRKACA,P17612,-0.06464672606732644
CDK14,O94921,0.02733084169303707
MYLK3,Q32MK0,0.04061060647924736
PIM1,P11309,-0.05778942159352039
MAPK12,P53778,0.03417831676877755
RPS6KA3,P51812,-0.024200135598501114
CDKL1,Q00532,0.05552855373605451
PRKCB,P05771,-0.018772636413501374
ATR,Q13535,0.023092316487660962
PIM2,Q9P1W9,-0.040065017957702884
RPS6KB1,P23443,-0.013652112933271891
AURKB,Q96GD4,0.09318670706631389
CSNK1E,P49674,0.07269043177850393
COQ8A,Q8NI60,0.06541981347151712
CSNK1D,P48730,0.07269043177850393
CHUK,O15111,0.07720419719042888
RPS6KA2,Q15349,0.06468688226485816
PSKH1,P11801,0.1040055655892025
CDKL5,O76039,0.08079138992146312
RPS6KA6,Q9UK32,0.06597029288446993
PKN1,Q16512,0.0786357704204654
CDK15,Q96Q40,0.05796116347163635
MAPK11,Q15759,0.11477643307336378
PKN2,Q16513,0.08774178349933437
GSK3B,P49841,0.1124914634252027
DAPK1,P53355,0.12982114340088766
MAPK7,Q13164,0.09377304944356733
PRKCH,P24723,0.05727718331841214
CDK10,Q15131,0.12832671118236136
PRKCG,P05129,0.0887324061271407
PRKCD,Q05655,0.0421255589466233
CDK5,Q00535,0.19670346122690785
CSNK2A1,P68400,0.2555480132734263
PRKCZ,Q05513,0.24309193742439447
PRKCQ,Q04759,0.08800130975200049
RPS6KA1,Q15418,0.11064533834391459
PRKD1,Q15139,0.2782739279547797
PRKCE,Q02156,0.1432945141119707
PRKCI,P41743,0.30561196102053706
PRKAB1,Q9Y478,0.16919583291886633
MAPK1,P28482,0.20272803411881116
IKBKB,O14920,0.2496245672993856
ROCK1,Q13464,0.3820354311969666
ROCK2,O75116,0.22812707055877013
NEK8,Q86SG6,0.3390349280588827
CDK11A,Q9UQ88,0.36005784706578536
AURKA,O14965,0.4639281508468537
CDK17,Q00537,0.4587004703078554
CDK13,Q14004,0.5087507989196256
CDK9,P50750,0.4209101296814701
ARAF,P10398,NA
BRAF,P15056,NA
PIM3,Q86V86,NA
PAK1,Q13153,0.6263825507664058
RAF1,P04049,0.6990938352023801
