Kinase,UniprotID,Score
RPS6KA1,Q15418,NA
DCLK2,Q8N568,NA
RPS6KA6,Q9UK32,NA
RPS6KB2,Q9UBS0,NA
MAPKAPK3,Q16644,NA
RPS6KA4,O75676,0.5604405617219802
NEK8,Q86SG6,0.5586361012583582
CHEK1,O14757,NA
CDKL2,Q92772,0.5746589517817419
PRKACA,P17612,NA
MAPK7,Q13164,0.6526462431366673
CHEK2,O96017,NA
RPS6KA2,Q15349,NA
PIM1,P11309,NA
CSNK1A1,P48729,0.6667992036941007
MAPKAPK2,P49137,NA
PIM2,Q9P1W9,NA
PRKG1,Q13976,NA
CILK1,Q9UPZ9,0.7816984281829513
TBK1,Q9UHD2,0.7816984281829513
MAK,P20794,0.7816984281829513
PRKCA,P17252,0.9966898443412896
RAF1,P04049,NA
NPR1,P16066,NA
CDKL5,O76039,0.8502149402921533
PRKG2,Q13237,NA
PRKCE,Q02156,1.0521160160736163
CDK11A,Q9UQ88,0.951942139420253
MAPK11,Q15759,NA
MAPK12,P53778,1.0569956143751287
AURKB,Q96GD4,1.009573511170722
CDK2,P24941,1.165215315393839
PRKCH,P24723,1.1510400470917026
MAPK8,P45983,1.3145927627287872
RPS6KA3,P51812,2.6978474285774627
CDK3,Q00526,1.1873884232127354
MAPK10,P53779,1.3145927627287872
RPS6KB1,P23443,NA
PRKCQ,Q04759,1.2717882744694222
MAPK9,P45984,1.3145927627287872
PRKCB,P05771,1.2491838624982996
MAPK13,O15264,1.645754930737331
SGK3,Q96BR1,1.278246141874876
PRKCG,P05129,1.3534299750293743
SGK1,O00141,1.2246024039738876
COQ8A,Q8NI60,NA
RPS6KA5,O75582,NA
CDK5,Q00535,NA
MAPK3,P27361,1.6740117430875974
PRKCD,Q05655,1.5105026762493512
MAPK1,P28482,1.546246164392727
PRKY,O43930,1.4406701385672718
MAPK14,Q16539,1.9790983239200848
CAMK2B,Q13554,1.3364278488092316
AKT1,P31749,NA
CDK7,P50613,1.5352253364206085
PRKCZ,Q05513,1.669031668676125
PAK1,Q13153,1.6330855060237628
SGK2,Q9HBY8,1.6451116945948172
PKN1,Q16512,NA
PRKACB,P22694,NA
PRKX,P51817,NA
AKT2,P31751,NA
CDK1,P06493,NA
PRKCI,P41743,2.1859507027168177
BRAF,P15056,NA
ARAF,P10398,NA
