Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
SGK1,19.571030673122497,34,PTM-SEA,0.5068493150684932,3,AGC,SGK,SGK,SGK1
CHEK1,38.02555992619127,21,PTM-SEA,0.7123287671232876,3,CAMK,CAMKL,CHK1,CHEK1
AURKA,-2.2740952431316934,51,PTM-SEA,0.273972602739726,2,OTHER,AUR,AUR,AURKA
DAPK3,0,54,PTM-SEA,0,1,CAMK,DAPK,DAPK,DAPK3
RPS6KA5,64.42845597277389,11,PTM-SEA,0.8493150684931506,4,AGC,RSK,MSK,RPS6KA5
CHEK2,49.89719001304248,16,PTM-SEA,0.7808219178082192,4,CAMK,RAD53,RAD53,CHEK2
RAF1,31.00191680235716,27,PTM-SEA,0.6301369863013698,3,TKL,RAF,RAF,RAF1
PRKCG,0,54,PTM-SEA,0,1,AGC,PKC,ALPHA,PRKCG
PRKCB,18.289892223513156,37,PTM-SEA,0.4657534246575342,2,AGC,PKC,ALPHA,PRKCB
CDK1,39.7154922867184,20,PTM-SEA,0.726027397260274,3,CMGC,CDK,CDC2,CDK1
ARAF,1.7538171967615162,52,PTM-SEA,0.2465753424657534,1,TKL,RAF,RAF,ARAF
PIM1,14.046350843331226,42,PTM-SEA,0.3972602739726027,2,CAMK,PIM,PIM,PIM1
CDK4,60.49480648537411,13,PTM-SEA,0.821917808219178,4,CMGC,CDK,CDK4,CDK4
SRC,0,54,PTM-SEA,0,1,TK,SRC,SRCA,SRC
BRAF,1.7538171967615162,52,PTM-SEA,0.2465753424657534,1,TKL,RAF,RAF,BRAF
PRKCA,-19.312916240920192,35,PTM-SEA,0.4931506849315068,2,AGC,PKC,ALPHA,PRKCA
PRKACA,-44.363329425123084,17,PTM-SEA,0.7671232876712328,4,AGC,PKA,PKA,PRKACA
PRKACG,7.832785416799993,47,PTM-SEA,0.3287671232876712,2,AGC,PKA,PKA,PRKACG
PRKACB,25.975903501612397,30,PTM-SEA,0.5616438356164384,3,AGC,PKA,PKA,PRKACB
RPS6KB1,-65.68072867957787,10,PTM-SEA,0.863013698630137,4,AGC,RSK,P70,RPS6KB1
